customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,creditLimit
Atelier graphique,Schmitt,Carine ,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,21
Signal Gift Stores,King,Jean,7025551838,8489 Strong St.,NULL,Las Vegas,NV,83030,USA,71.8
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,117.3
La Rochelle Gifts,Labrune,Janine ,40.67.8555,"67, rue des Cinquante Otages",NULL,Nantes,NULL,44000,France,118.2
Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,NULL,Stavern,NULL,4110,Norway,81.7
Mini Gifts Distributors Ltd.,Nelson,Susan,4155551450,5677 Strong St.,NULL,San Rafael,CA,97562,USA,210.5
Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,NULL,Warszawa,NULL,01-012,Poland,0
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,NULL,Frankfurt,NULL,60528,Germany,59.7
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,NULL,San Francisco,CA,94217,USA,64.6
Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,NULL,NYC,NY,10022,USA,114.9
Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",NULL,Madrid,NULL,28034,Spain,227.6
"Volvo Model Replicas, Co",Berglund,Christina ,0921-12 3555,Berguvsv�gen  8,NULL,Lule�,NULL,S-958 22,Sweden,53.1
Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinb�ltet 34,NULL,Kobenhavn,NULL,1734,Denmark,83.4
"Saveley & Henriot, Co.",Saveley,Mary ,78.32.5555,"2, rue du Commerce",NULL,Lyon,NULL,69004,France,123.9
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,NULL,79903,Singapore,103.8
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,138.5
Diecast Classics Inc.,Leong,Kelvin,2155551555,7586 Pompton St.,NULL,Allentown,PA,70267,USA,100.6
Technics Stores Inc.,Hashimoto,Juri,6505556809,9408 Furth Circle,NULL,Burlingame,CA,94217,USA,84.6
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,106 Linden Road Sandown,2nd Floor,Singapore,NULL,69045,Singapore,97.9
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,Bergen,NULL,N 5804,Norway  ,96.8
American Souvenirs Inc,Franco,Keith,2035557845,149 Spinnaker Dr.,Suite 101,New Haven,CT,97823,USA,0
Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da sa�de n. 58,NULL,Lisboa,NULL,1756,Portugal,0
Daedalus Designs Imports,Ranc�,Martine ,20.16.1555,"184, chauss�e de Tournai",NULL,Lille,NULL,59000,France,82.9
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",NULL,Paris,NULL,75012,France,84.3
Cambridge Collectables Co.,Tseng,Jerry,6175555555,4658 Baden Av.,NULL,Cambridge,MA,51247,USA,43.4
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,NULL,Bridgewater,CT,97562,USA,84.3
Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,NULL,Kita-ku,Osaka, 530-0003,Japan,81.2
Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,76.4
"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,NULL,Helsinki,NULL,21240,Finland,96.5
"AV Stores, Co.",Ashworth,Rachel,(171) 555-1555,Fauntleroy Circus,NULL,Manchester,NULL,EC2 5NT,UK,136.8
"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,NULL,2,Ireland,69.4
Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,NULL,Brickhaven,MA,58339,USA,23
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,"12, Berkeley Gardens Blvd",NULL,Liverpool,NULL,WX1 6LT,UK,92.7
Canadian Gift Exchange Network,Tamuri,Yoshi ,(604) 555-3392,1900 Oak St.,NULL,Vancouver,BC,V3F 2K1,Canada,90.3
Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,NULL,Brickhaven,MA,58339,USA,68.7
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,NULL,Pasadena,CA,90003,USA,90.7
"Asian Shopping Network, Co",Walker,Brydey,+612 9411 1555,Suntec Tower Three,8 Temasek,Singapore,NULL,38988,Singapore,0
Mini Caravy,Citeaux,Fr�d�rique ,88.60.1555,"24, place Kl�ber",NULL,Strasbourg,NULL,67000,France,53.8
"King Kong Collectables, Co.",Gao,Mike,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,NULL,NULL,Hong Kong,58.6
Enaco Distributors,Saavedra,Eduardo ,(93) 203 4555,"Rambla de Catalu�a, 23",NULL,Barcelona,NULL,8022,Spain,60.3
Boards & Toys Co.,Young,Mary,3105552373,4097 Douglas Av.,NULL,Glendale,CA,92561,USA,11
Nat�rlich Autos,Kloss,Horst ,0372-555188,Taucherstra�e 10,NULL,Cunewalde,NULL,1307,Germany,0
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,NULL,�rhus,NULL,8200,Denmark,120.8
Qu�bec Home Shopping Network,Fresni�re,Jean ,(514) 555-8054,43 rue St. Laurent,NULL,Montr�al,Qu�bec,H1J 1C3,Canada,48.7
ANG Resellers,Camino,Alejandra ,(91) 745 6555,"Gran V�a, 1",NULL,Madrid,NULL,28001,Spain,0
Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,NULL,San Diego,CA,91217,USA,105
giftsbymail.co.uk,Bennett,Helen ,(198) 555-8888,Garden House,Crowther Way 23,Cowes,Isle of Wight,PO31 7PJ,UK,93.9
Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,NULL,Toulouse,NULL,31000,France,61.1
Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,NULL,Frankfurt,NULL,60528,Germany,0
Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte Bianco 34,NULL,Torino,NULL,10100,Italy,113
Lyon Souveniers,Da Silva,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NULL,Paris,NULL,75508,France,68.1
Auto Associ�s & Cie.,Tonini,Daniel ,30.59.8555,"67, avenue de l'Europe",NULL,Versailles,NULL,78000,France,77.9
"Toms Spezialit�ten, Ltd",Pfalzheim,Henriette ,0221-5554327,Mehrheimerstr. 369,NULL,K�ln,NULL,50739,Germany,120.4
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth ,(604) 555-4555,23 Tsawassen Blvd.,NULL,Tsawassen,BC,T2F 8M4,Canada,89.6
